area,ID,Longitude,Latitude,Slp_class,Slope_mean,Elv_class,Elevation_,ECO_NAME,G200_REGIO,_antropiza,HISTO_0,HISTO_1,HISTO_2,HISTO_3,total_pix,Natural,Agro,Urb,Other,Antro,Check
99926101.3,1770,-39.195122,-14.371797,Class2,19.15081759,1-Low Elevation,87.06238883,Bahia coastal forests,Atlantic Forests,0.203328918,83773,30490,183,0,114446,0.732,0.266,0.002,0,0.268,1
99926101.3,9565,-37.672236,-11.513498,Class2,11.32199164,1-Low Elevation,87.23134905,Pernambuco interior forests,Atlantic Forests,0.793851657,25441,88828,177,0,114446,0.222,0.776,0.002,0,0.778,1
99926101.3,7331,-39.227892,-15.930392,Class2,11.68894256,1-Low Elevation,87.29455459,Bahia coastal forests,Atlantic Forests,0.583999798,44599,69637,0,0,114236,0.39,0.61,0,0,0.61,1
99926101.3,5451,-39.86199,-17.788265,Class2,11.21092696,1-Low Elevation,87.30638213,Bahia coastal forests,Atlantic Forests,0.805222086,23575,90661,0,0,114236,0.206,0.794,0,0,0.794,1
99926101.3,5301,-52.350527,-29.813502,Class1,7.61785852,1-Low Elevation,87.46818645,Alto Paraná Atlantic forests,Atlantic Forests,0.565177411,47129,66763,344,0,114236,0.413,0.584,0.003,0,0.587,1
99926101.3,9891,-41.412515,-21.222139,Class3,20.74515359,1-Low Elevation,88.058015,Bahia interior forests,Atlantic Forests,0.877101664,14535,98756,944,0,114235,0.127,0.864,0.008,0,0.873,0.999
99926101.3,4148,-47.562291,-24.250674,Class3,28.43423422,1-Low Elevation,88.1293745,Serra do Mar coastal forests,Atlantic Forests,0.194312276,91036,23198,0,0,114234,0.797,0.203,0,0,0.203,1
99926101.3,10430,-52.264499,-29.579085,Class2,11.50885019,1-Low Elevation,88.33266255,Alto Paraná Atlantic forests,Atlantic Forests,0.669509685,28754,84620,862,0,114236,0.252,0.741,0.008,0,0.748,1.001
99926101.3,266,-38.170659,-12.296165,Class2,12.26053254,1-Low Elevation,88.363799,Bahia coastal forests,Atlantic Forests,0.677715163,34802,79435,0,0,114237,0.305,0.695,0,0,0.695,1
99926101.3,4857,-39.248496,-14.614425,Class2,11.1155654,1-Low Elevation,88.41804741,Bahia coastal forests,Atlantic Forests,0.113693499,98804,14490,1151,0,114445,0.863,0.127,0.01,0,0.137,1
99926101.3,12589,-40.129,-18.473566,Class2,11.29684182,1-Low Elevation,88.45822807,Bahia coastal forests,Atlantic Forests,0.878271213,11922,102175,139,0,114236,0.104,0.894,0.001,0,0.896,0.999
99926101.3,42,-35.08131,-7.074481,Class1,6.686054487,1-Low Elevation,88.85470428,Pernambuco interior forests,Atlantic Forests,0.73587548,29829,83947,459,0,114235,0.261,0.735,0.004,0,0.739,1
99926101.3,6734,-39.145513,-13.51464,Class2,15.95181959,1-Low Elevation,89.14949103,Bahia coastal forests,Atlantic Forests,0.42693359,67468,46492,274,0,114234,0.591,0.407,0.002,0,0.409,1
99926101.3,800,-37.657346,-11.60687,Class2,12.34076821,1-Low Elevation,89.16470855,Pernambuco interior forests,Atlantic Forests,0.507710738,56184,58052,0,0,114236,0.492,0.508,0,0,0.508,1
99926101.3,9258,-51.250842,-29.627729,Class2,14.73019358,1-Low Elevation,89.36719295,Alto Paraná Atlantic forests,Atlantic Forests,0.486164541,47537,62062,4638,0,114237,0.416,0.543,0.041,0,0.584,1
99926101.3,710,-38.23606,-12.447593,Class2,11.4288818,1-Low Elevation,89.38233205,Bahia coastal forests,Atlantic Forests,0.586982748,48155,66020,60,0,114235,0.422,0.578,0.001,0,0.578,1.001
99926101.3,12597,-40.185743,-18.713516,Class2,11.34398378,1-Low Elevation,89.60188031,Bahia coastal forests,Atlantic Forests,0.83935682,19260,92980,1994,0,114234,0.169,0.814,0.017,0,0.831,1
99926101.3,88,-39.284941,-15.561178,Class2,15.73457782,1-Low Elevation,90.00032144,Bahia coastal forests,Atlantic Forests,0.419972329,64983,49256,204,0,114443,0.568,0.43,0.002,0,0.432,1
99926101.3,13125,-39.281942,-16.171983,Class2,13.09711819,1-Low Elevation,90.06066773,Bahia coastal forests,Atlantic Forests,0.680820011,42107,71803,326,0,114236,0.369,0.629,0.003,0,0.631,1.001
99926101.3,1640,-39.095527,-15.019715,Class2,15.13163341,1-Low Elevation,90.1465163,Bahia coastal forests,Atlantic Forests,0.189353356,86428,28017,0,0,114445,0.755,0.245,0,0,0.245,1
99926101.3,11267,-38.076042,-12.331008,Class1,7.822501681,1-Low Elevation,90.20465505,Bahia coastal forests,Atlantic Forests,0.795429237,22137,91956,143,0,114236,0.194,0.805,0.001,0,0.806,1
99926101.3,6512,-35.390699,-8.822874,Class2,17.69507022,1-Low Elevation,90.23498015,Pernambuco coastal forests,Atlantic Forests,0.833061965,18214,96021,0,0,114235,0.159,0.841,0,0,0.841,1
99926101.3,7763,-41.66039,-21.480058,Class3,25.47882922,1-Low Elevation,90.57667835,Bahia interior forests,Atlantic Forests,0.941334278,7317,104504,2625,0,114446,0.064,0.913,0.023,0,0.936,1
99926101.3,2350,-36.177843,-9.860304,Class1,9.453237277,1-Low Elevation,90.74707457,Pernambuco coastal forests,Atlantic Forests,0.933092056,7417,105860,958,0,114235,0.065,0.927,0.008,0,0.935,1
99926101.3,5808,-52.961644,-29.744584,Class1,7.291937219,1-Low Elevation,90.84849691,Alto Paraná Atlantic forests,Atlantic Forests,0.687035159,31666,81573,988,9,114236,0.277,0.714,0.009,0,0.723,1
99926101.3,311,-51.653836,-29.645761,Class2,14.93113677,1-Low Elevation,90.97168815,Alto Paraná Atlantic forests,Atlantic Forests,0.678919129,25110,89068,60,0,114238,0.22,0.78,0.001,0,0.78,1.001
99926101.3,11442,-52.950789,-29.928946,Class1,8.847446695,1-Low Elevation,91.18588852,Alto Paraná Atlantic forests,Atlantic Forests,0.424288185,65348,48596,200,93,114237,0.572,0.425,0.002,0.001,0.428,1
99926101.3,12232,-40.016135,-17.993277,Class1,8.787861939,1-Low Elevation,91.45760844,Bahia coastal forests,Atlantic Forests,0.763567494,28732,85335,168,0,114235,0.252,0.747,0.001,0,0.748,1
99926101.3,7553,-42.762807,-22.470923,Class3,25.40996001,1-Low Elevation,91.52762385,Serra do Mar coastal forests,Atlantic Forests,0.52597923,56137,58310,0,0,114447,0.491,0.509,0,0,0.509,1
99926101.3,6771,-35.2977,-8.856552,Class2,19.74701512,1-Low Elevation,92.03631576,Pernambuco coastal forests,Atlantic Forests,0.776248967,24171,90274,0,0,114445,0.211,0.789,0,0,0.789,1
99926101.3,118,-41.23886,-21.110973,Class3,30.01508415,1-Low Elevation,92.14862448,Bahia interior forests,Atlantic Forests,0.781582433,25627,88041,560,8,114236,0.224,0.771,0.005,0,0.776,1
99926101.3,8697,-52.252585,-29.763362,Class1,8.176006997,1-Low Elevation,92.21355752,Alto Paraná Atlantic forests,Atlantic Forests,0.549787867,42189,70751,1287,9,114236,0.369,0.619,0.011,0,0.631,0.999
99926101.3,9939,-40.115042,-18.565365,Class1,8.916539236,1-Low Elevation,92.40354529,Bahia coastal forests,Atlantic Forests,0.906668916,10607,103487,351,0,114445,0.093,0.904,0.003,0,0.907,1
99926101.3,6532,-39.336186,-16.413411,Class2,15.84959694,1-Low Elevation,92.45194173,Bahia coastal forests,Atlantic Forests,0.624269216,43165,71040,30,0,114235,0.378,0.622,0,0,0.622,1
99926101.3,11431,-39.109813,-14.927232,Class2,16.2264672,1-Low Elevation,92.45287376,Bahia coastal forests,Atlantic Forests,0.246583316,81522,32379,0,336,114237,0.714,0.283,0,0.003,0.286,1
99926101.3,2136,-35.141139,-7.230351,Class1,5.873492754,1-Low Elevation,92.50207431,Pernambuco interior forests,Atlantic Forests,0.889073546,12691,97566,3979,0,114236,0.111,0.854,0.035,0,0.889,1
99926101.3,12623,-38.680288,-12.458798,Class1,9.082529714,1-Low Elevation,92.82598836,Bahia coastal forests,Atlantic Forests,0.921990602,16029,97908,299,0,114236,0.14,0.857,0.003,0,0.86,1
99926101.3,7163,-40.272002,-19.376416,Class3,21.51066219,1-Low Elevation,92.85949762,Bahia coastal forests,Atlantic Forests,0.755409703,26874,87572,0,0,114446,0.235,0.765,0,0,0.765,1
99926101.3,9968,-38.330716,-12.412672,Class2,13.04812095,1-Low Elevation,92.8921125,Bahia coastal forests,Atlantic Forests,0.827316826,19455,87867,6914,0,114236,0.17,0.769,0.061,0,0.83,1
99926101.3,1658,-39.234337,-14.707002,Class2,10.22013955,1-Low Elevation,93.25115537,Bahia coastal forests,Atlantic Forests,0.086339204,102315,11921,0,0,114236,0.896,0.104,0,0,0.104,1
99926101.3,12896,-39.267642,-16.264177,Class2,16.63837522,1-Low Elevation,93.29549297,Bahia coastal forests,Atlantic Forests,0.603678238,45474,68763,0,0,114237,0.398,0.602,0,0,0.602,1
99926101.3,7549,-40.156858,-18.289917,Class2,11.88917185,1-Low Elevation,93.31181242,Bahia coastal forests,Atlantic Forests,0.877468919,15488,98958,0,0,114446,0.135,0.865,0,0,0.865,1
99926101.3,2711,-49.001253,-26.602457,Class2,19.18874193,1-Low Elevation,93.32754448,Serra do Mar coastal forests,Atlantic Forests,0.593478719,46385,61107,6954,0,114446,0.405,0.534,0.061,0,0.595,1
99926101.3,2010,-37.592958,-11.454763,Class2,15.27993626,1-Low Elevation,93.39018866,Pernambuco interior forests,Atlantic Forests,0.711718704,33894,79802,541,0,114237,0.297,0.699,0.005,0,0.703,1.001
99926101.3,11618,-43.774671,-22.796468,Class2,15.7855299,1-Low Elevation,93.60357254,Serra do Mar coastal forests,Atlantic Forests,0.749004522,28611,75563,7182,2878,114234,0.25,0.661,0.063,0.025,0.75,0.999
99926101.3,2558,-35.05379,-6.728537,Class2,9.566868903,1-Low Elevation,93.70271867,Pernambuco interior forests,Atlantic Forests,0.732908146,29916,83216,1103,0,114235,0.262,0.728,0.01,0,0.738,1
