area,ID,Longitude,Latitude,Slope_mean,Elevation_,ECO_NAME,G200_REGIO,_antropiza
99926101.3,5037,-44.999377,-21.374757,17.83999134,990.8718138,Alto Parana Atlantic forests,Atlantic Forests,0.731684889
99926101.3,5055,-46.749097,-20.957779,15.66232713,1039.495097,Alto Parana Atlantic forests,Atlantic Forests,0.79797869
99926101.3,5071,-45.627125,-22.537056,35.19153707,1124.842726,Alto Parana Atlantic forests,Atlantic Forests,0.658402018
99926101.3,5078,-45.896305,-22.697037,32.06218363,1613.868947,Alto Parana Atlantic forests,Atlantic Forests,0.497781265
99926101.3,5121,-45.552758,-21.513019,18.15936722,827.6615399,Alto Parana Atlantic forests,Atlantic Forests,0.785811905
99926101.3,5136,-44.745778,-21.90908,23.07581611,1130.398384,Alto Parana Atlantic forests,Atlantic Forests,0.671542822
99926101.3,5157,-45.957504,-22.146829,16.07984224,883.5597241,Alto Parana Atlantic forests,Atlantic Forests,0.863282041
99926101.3,5189,-45.453468,-21.551265,15.14503633,896.9446841,Alto Parana Atlantic forests,Atlantic Forests,0.914269324
99926101.3,5203,-45.579374,-22.116877,24.48863691,947.8445491,Alto Parana Atlantic forests,Atlantic Forests,0.833063373
99926101.3,5211,-45.42199,-21.826475,13.65580725,910.0152784,Alto Parana Atlantic forests,Atlantic Forests,0.869195856
99926101.3,5221,-45.967653,-22.0551,26.36566778,1148.17483,Alto Parana Atlantic forests,Atlantic Forests,0.771993318
99926101.3,5234,-46.682291,-21.600729,25.47066931,1047.273321,Alto Parana Atlantic forests,Atlantic Forests,0.785791418
99926101.3,5292,-45.066476,-21.611966,14.08236213,980.4612482,Alto Parana Atlantic forests,Atlantic Forests,0.796456743
99926101.3,5343,-46.464688,-21.861982,24.34593769,1292.634855,Alto Parana Atlantic forests,Atlantic Forests,0.695900858
99926101.3,5360,-44.778732,-21.634015,13.73927017,1033.1717,Alto Parana Atlantic forests,Atlantic Forests,0.736265776
99926101.3,5377,-46.5055,-22.373757,20.87384125,900.4647043,Alto Parana Atlantic forests,Atlantic Forests,0.825202258
99926101.3,5404,-46.950811,-21.759274,8.849728155,724.0234913,Alto Parana Atlantic forests,Atlantic Forests,0.900021934
99926101.3,5421,-46.525028,-22.190267,27.03030132,1069.092445,Alto Parana Atlantic forests,Atlantic Forests,0.758275967
99926101.3,5432,-46.246192,-22.122901,26.15411712,1255.098763,Alto Parana Atlantic forests,Atlantic Forests,0.833383951
99926101.3,5445,-46.177039,-21.006853,16.88487241,864.4404263,Alto Parana Atlantic forests,Atlantic Forests,0.766018476
